TYPE,SITE,SiteAsNumber,UniquePlot,PLOT,DATE,DOY,NUMBER,TOTAL,PROPORTION,CUM_PROPORTION
Bee,MR,1,1,1,1/3/13,3,0,257,0,0
Bee,MR,1,1,1,1/8/13,8,0,257,0,0
Bee,MR,1,1,1,1/14/13,14,0,257,0,0
Bee,MR,1,1,1,1/22/13,22,0,257,0,0
Bee,MR,1,1,1,1/28/13,28,0,257,0,0
Bee,MR,1,1,1,2/4/13,35,0,257,0,0
Bee,MR,1,1,1,2/11/13,42,0,257,0,0
Bee,MR,1,1,1,2/20/13,51,0,257,0,0
Bee,MR,1,1,1,2/27/13,58,0,257,0,0
Bee,MR,1,1,1,3/4/13,63,0,257,0,0
Bee,MR,1,1,1,3/11/13,70,0,257,0,0
Bee,MR,1,1,1,3/17/13,76,0,257,0,0
Bee,MR,1,1,1,3/25/13,84,0,257,0,0
Bee,MR,1,1,1,4/1/13,91,0,257,0,0
Bee,MR,1,1,1,4/8/13,98,0,257,0,0
Bee,MR,1,1,1,4/17/13,107,0,257,0,0
Bee,MR,1,1,1,4/24/13,114,0,257,0,0
Bee,MR,1,1,1,5/1/13,121,0,257,0,0
Bee,MR,1,1,1,5/10/13,130,2,257,0.008,0.008
Bee,MR,1,1,1,5/17/13,137,64,257,0.249,0.257
Bee,MR,1,1,1,5/24/13,144,55,257,0.214,0.471
Bee,MR,1,1,1,6/1/13,152,27,257,0.105,0.576
Bee,MR,1,1,1,6/7/13,158,42,257,0.163,0.739
Bee,MR,1,1,1,6/14/13,165,32,257,0.125,0.864
Bee,MR,1,1,1,6/21/13,172,23,257,0.089,0.953
Bee,MR,1,1,1,6/27/13,178,10,257,0.039,0.992
Bee,MR,1,1,1,7/2/13,183,2,257,0.008,1
Bee,MR,1,1,1,7/6/13,187,0,257,0,1
Bee,MR,1,2,2,1/3/13,3,0,346,0,0
Bee,MR,1,2,2,1/8/13,8,0,346,0,0
Bee,MR,1,2,2,1/14/13,14,0,346,0,0
Bee,MR,1,2,2,1/22/13,22,0,346,0,0
Bee,MR,1,2,2,1/28/13,28,0,346,0,0
Bee,MR,1,2,2,2/4/13,35,0,346,0,0
Bee,MR,1,2,2,2/11/13,42,0,346,0,0
Bee,MR,1,2,2,2/20/13,51,0,346,0,0
Bee,MR,1,2,2,2/27/13,58,0,346,0,0
Bee,MR,1,2,2,3/4/13,63,0,346,0,0
Bee,MR,1,2,2,3/11/13,70,0,346,0,0
Bee,MR,1,2,2,3/17/13,76,0,346,0,0
Bee,MR,1,2,2,3/26/13,85,0,346,0,0
Bee,MR,1,2,2,4/1/13,91,0,346,0,0
Bee,MR,1,2,2,4/8/13,98,0,346,0,0
Bee,MR,1,2,2,4/17/13,107,0,346,0,0
Bee,MR,1,2,2,4/24/13,114,0,346,0,0
Bee,MR,1,2,2,5/1/13,121,0,346,0,0
Bee,MR,1,2,2,5/10/13,130,5,346,0.014,0.014
Bee,MR,1,2,2,5/17/13,137,52,346,0.15,0.165
Bee,MR,1,2,2,5/24/13,144,87,346,0.251,0.416
Bee,MR,1,2,2,6/1/13,152,58,346,0.168,0.584
Bee,MR,1,2,2,6/7/13,158,50,346,0.145,0.728
Bee,MR,1,2,2,6/15/13,166,48,346,0.139,0.867
Bee,MR,1,2,2,6/21/13,172,29,346,0.084,0.951
Bee,MR,1,2,2,6/27/13,178,15,346,0.043,0.994
Bee,MR,1,2,2,7/2/13,183,2,346,0.006,1
Bee,MR,1,2,2,7/6/13,187,0,346,0,1
Bee,MR,1,3,3,1/8/13,8,0,33,0,0
Bee,MR,1,3,3,1/14/13,14,0,33,0,0
Bee,MR,1,3,3,1/22/13,22,0,33,0,0
Bee,MR,1,3,3,1/28/13,28,0,33,0,0
Bee,MR,1,3,3,2/4/13,35,0,33,0,0
Bee,MR,1,3,3,2/11/13,42,0,33,0,0
Bee,MR,1,3,3,2/20/13,51,0,33,0,0
Bee,MR,1,3,3,2/27/13,58,0,33,0,0
Bee,MR,1,3,3,3/4/13,63,0,33,0,0
Bee,MR,1,3,3,3/11/13,70,0,33,0,0
Bee,MR,1,3,3,3/18/13,77,0,33,0,0
