SITE,PLOT,DATE,DOY,TIME,DateTime,TEMPPOINT,AIR_T,SURFACE_T,ONEcm_T,TENcm_T,TWENTYFIVEcm_T,THIRTYcm_T,FIFTYcm_T,PROCHECK_T,SOILMOIST
EP,1,1/27/13,27,16:01:00,1/27/13 16:01,5,NA,NA,NA,NA,NA,NA,NA,13.4,0.106
EP,1,1/27/13,27,16:01:00,1/27/13 16:01,3,NA,NA,NA,NA,NA,NA,NA,17.1,0.109
EP,1,1/27/13,27,16:01:00,1/27/13 16:01,1,NA,NA,NA,NA,NA,NA,NA,18.5,0.111
DS,2,1/27/13,27,15:14:00,1/27/13 15:14,2,NA,NA,NA,NA,NA,NA,NA,16.3,0.118
DS,2,1/27/13,27,15:14:00,1/27/13 15:14,4,NA,NA,NA,NA,NA,NA,NA,15.5,0.118
EP,1,1/27/13,27,16:01:00,1/27/13 16:01,2,NA,NA,NA,NA,NA,NA,NA,18.3,0.122
EP,1,1/27/13,27,16:01:00,1/27/13 16:01,6,NA,NA,NA,NA,NA,NA,NA,12.7,0.123
EP,1,1/27/13,27,16:01:00,1/27/13 16:01,4,NA,NA,NA,NA,NA,NA,NA,14.9,0.126
DS,3,1/27/13,27,15:31:00,1/27/13 15:31,1,NA,NA,NA,NA,NA,NA,NA,14.4,0.126
DS,2,1/27/13,27,15:14:00,1/27/13 15:14,1,NA,NA,NA,NA,NA,NA,NA,15.4,0.128
DS,3,1/27/13,27,15:31:00,1/27/13 15:31,3,NA,NA,NA,NA,NA,NA,NA,14.7,0.135
DS,3,1/27/13,27,15:31:00,1/27/13 15:31,2,NA,NA,NA,NA,NA,NA,NA,16.1,0.136
DS,2,1/27/13,27,15:14:00,1/27/13 15:14,3,NA,NA,NA,NA,NA,NA,NA,15.2,0.148
EP,2,2/10/13,41,15:40:00,2/10/13 15:40,3,NA,NA,NA,NA,NA,12.8,11.8,NA,NA
EP,2,2/10/13,41,15:40:00,2/10/13 15:40,2,NA,NA,NA,NA,NA,12.5,12.4,NA,NA
EP,2,2/10/13,41,15:40:00,2/10/13 15:40,1,NA,NA,NA,NA,NA,11.6,11.5,NA,NA
DS,3,4/30/13,120,11:46:00,4/30/13 11:46,1,NA,35.9,19.6,17.2,16.7,16.9,17.3,20.5,0.066
DS,3,4/30/13,120,11:46:00,4/30/13 11:46,2,NA,33.6,19.2,16.7,16.7,17,17.4,21.4,0.06
DS,3,4/30/13,120,11:46:00,4/30/13 11:46,3,NA,31.9,17.6,16.1,16.3,16.5,16.6,18.9,0.063
LN,1,3/13/13,72,14:15:00,3/13/13 14:15,4,NA,27.5,18.2,14.5,12.9,12.8,12.9,18.4,0.089
LN,1,3/13/13,72,14:15:00,3/13/13 14:15,3,NA,26.8,17.5,14.1,12.5,12.5,12.8,17.9,0.097
LN,1,3/13/13,72,14:15:00,3/13/13 14:15,2,NA,25.4,17.2,13.4,12.1,11.8,11.5,16.6,0.096
LN,1,3/21/13,80,13:25:00,3/21/13 13:25,4,NA,25.2,16.9,12.2,10.9,10.8,12.2,17.3,0.123
LN,1,3/21/13,80,13:25:00,3/21/13 13:25,1,NA,22.8,15.2,11.3,10.2,10.6,11.9,16.3,0.103
LN,1,3/13/13,72,14:15:00,3/13/13 14:15,1,NA,22.6,16,13.1,11.8,12.1,12.2,16.7,0.089
LN,1,3/21/13,80,13:25:00,3/21/13 13:25,2,NA,22.6,17.2,11.9,10.5,10.7,11.8,15.6,0.126
LN,1,3/21/13,80,13:25:00,3/21/13 13:25,3,NA,22.5,15,11.4,10.7,10.9,12,15.8,0.135
EP,2,5/12/13,132,15:53:00,5/12/13 15:53,2,27.4,50.2,30.4,22.6,20.2,20,19.4,33.2,0.049
EP,2,5/12/13,132,15:53:00,5/12/13 15:53,3,27.4,48,28.2,23.4,21.5,20.8,19.9,31.2,0.076
