SITE,PLOT,DATE,DOY,TIME,DateTime,AIR_T,SURFACE_T,ONEcm_T,TENcm_T,TWENTYFIVEcm_T,THIRTYcm_T,FIFTYcm_T,PROCHECK_T,SOILMOIST
MR,1,06/07/13,158,8:39,6/7/13 8:39,12,16.7,17.6,18.5,19.2,19.3,19.3,17.3,0.073
MA,2,05/28/13,148,8:57,5/28/13 8:57,14.5,18.1,15.9,15.6,16,16.3,16.1,16.8,0.102
MR,1,05/04/13,124,9:00,5/4/13 9:00,17.4,21.8,14.5,15.6,16.3,16.6,16.3,14.3,0.047
MR,1,05/18/13,138,9:00,5/18/13 9:00,13.9,19.4,16,17,18.3,18.9,19.3,16.4,0.069
MR,2,06/07/13,158,9:00,6/7/13 9:00,12,17.3,17.9,18.9,19.4,19.5,19.2,17.7,0.062
MR,3,06/06/13,157,9:21,6/6/13 9:21,12.5,17,17.5,18.1,18.9,19.1,19.3,17.7,0.072
MA,1,05/28/13,148,9:21,5/28/13 9:21,15.6,18.8,17.2,16.5,17.2,17.8,18.4,17.7,0.128
MA,4,05/28/13,148,9:21,5/28/13 9:21,16.3,21.2,17.7,16.8,17.4,18,19,18.7,0.107
MR,5,05/18/13,138,9:32,5/18/13 9:32,16.1,22.3,17.3,18.3,19.3,19.5,19.1,18.1,0.074
MR,4,06/07/13,158,9:38,6/7/13 9:38,12.7,18.3,17.9,18.5,19.2,19.5,19.7,18.1,0.066
MN,2,05/30/13,150,9:47,5/30/13 9:47,15.6,30.3,22,18.6,18.1,18.3,18.9,20.8,0.072
MA,5,06/03/13,154,9:50,6/3/13 9:50,13.6,28.1,20.2,19.1,20.2,20.7,21.2,20.3,0.073
MR,6,05/18/13,138,9:53,5/18/13 9:53,16.1,23.1,17.9,18.6,19.5,19.7,19.9,19,0.07
MN,1,05/30/13,150,9:58,5/30/13 9:58,17.1,30.8,21.3,19.3,19.5,20.3,20.3,21.5,0.101
SA,1,04/26/13,116,10:00,4/26/13 10:00,12.3,16.8,15.6,16,16.5,16.5,16.3,16.5,0.062
SA,6,05/29/13,149,10:07,5/29/13 10:07,15.2,19.9,17.7,18.3,19.2,19.5,19.7,18.5,0.079
MA,6,06/03/13,154,10:10,6/3/13 10:10,15.7,23.6,18.6,17.8,18.5,18.8,19.2,19.1,0.087
